player_name,age,player_height,draft_year,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,ovrdraftpick
Nazr Mohammed,21,208.28,1998,26,1.6,1.4,0.1,15.9,0.175,0.165,0.227,0.41,0.031,1998,29
Michael Ruffin,23,205.74,1999,71,2.2,3.5,0.6,-8.1,0.142,0.168,0.111,0.45,0.082,1999,64
Metta World Peace,20,198.12,1999,72,12.0,4.3,2.7,-8.6,0.031,0.129,0.215,0.491,0.171,1999,16
Obinna Ekezie,24,205.74,1999,39,3.2,2.4,0.2,-2.6,0.125,0.214,0.189,0.538,0.039,1999,74
Jonathan Bender,19,210.82,1999,24,2.7,0.9,0.1,-0.3,0.033,0.126,0.277,0.397,0.036,1999,5
Jumaine Jones,21,203.2,1999,33,1.7,1.2,0.2,1.2,0.109,0.152,0.246,0.432,0.074,1999,27
Kenny Thomas,22,203.2,1999,72,8.3,6.1,1.6,0.9,0.094,0.178,0.18,0.477,0.099,1999,22
John Celestand,23,193.04,1999,16,2.3,0.7,1.3,-3.1,0.006,0.056,0.148,0.388,0.165,1999,60
Lamar Odom,20,208.28,1999,76,16.6,7.8,4.2,-8.2,0.063,0.18,0.234,0.521,0.199,1999,4
Lari Ketner,23,208.28,1999,22,1.5,1.5,0.0,-27.2,0.089,0.208,0.152,0.456,0.015,1999,98
Laron Profit,22,195.58,1999,33,1.5,0.8,0.8,-1.5,0.01,0.111,0.159,0.386,0.185,1999,76
Todd MacCulloch,24,213.36,1999,56,3.7,2.6,0.2,0.0,0.099,0.201,0.168,0.557,0.04,1999,94
Tim Young,24,218.44,1999,25,2.2,1.4,0.2,-4.6,0.086,0.19,0.181,0.492,0.057,1999,112
Tim James,23,200.66,1999,4,2.8,1.0,0.5,38.9,0.13,0.042,0.319,0.359,0.143,1999,25
Steve Francis,23,190.5,1999,77,18.0,5.3,6.6,-3.7,0.062,0.102,0.249,0.543,0.315,1999,2
Jeff Foster,23,210.82,1999,19,2.3,1.7,0.3,-6.3,0.15,0.247,0.167,0.632,0.088,1999,21
William Avery,20,187.96,1999,59,2.6,0.7,1.5,-11.2,0.017,0.081,0.22,0.391,0.289,1999,14
Wally Szczerbiak,23,200.66,1999,73,11.6,3.7,2.8,5.0,0.048,0.1,0.171,0.571,0.136,1999,6
Vonteego Cummings,24,190.5,1999,75,9.4,2.5,3.3,-7.6,0.032,0.082,0.204,0.484,0.232,1999,26
Trajan Langdon,24,190.5,1999,10,4.9,1.5,1.1,18.8,0.031,0.079,0.147,0.546,0.104,1999,11
Shawn Marion,22,200.66,1999,51,10.2,6.5,1.4,5.5,0.094,0.195,0.194,0.511,0.089,1999,9
Richard Hamilton,22,198.12,1999,71,9.0,1.8,1.5,-3.9,0.031,0.079,0.243,0.482,0.131,1999,7
Quincy Lewis,23,200.66,1999,74,3.8,1.5,0.5,-5.7,0.059,0.087,0.187,0.441,0.08,1999,19
Rodney Buford,22,195.58,1999,34,4.3,1.4,0.6,-3.5,0.031,0.117,0.202,0.457,0.094,1999,106
Scott Padgett,24,205.74,1999,47,2.6,1.9,0.5,-3.8,0.068,0.169,0.184,0.395,0.092,1999,28
Ryan Robertson,23,195.58,1999,1,5.0,0.0,0.0,-33.4,0.0,0.0,0.119,0.388,0.0,1999,90
Calvin Booth,24,210.82,1999,11,3.8,2.9,0.6,-2.7,0.123,0.157,0.184,0.403,0.073,1999,70
Cal Bowdler,23,208.28,1999,46,2.7,1.8,0.3,-13.0,0.055,0.169,0.156,0.463,0.056,1999,17
Corey Maggette,20,198.12,1999,77,8.4,3.9,0.8,-1.6,0.101,0.144,0.224,0.553,0.071,1999,13
Chris Herren,24,187.96,1999,45,3.1,1.2,2.5,-5.5,0.023,0.075,0.136,0.498,0.297,1999,66
Andre Miller,24,187.96,1999,82,11.1,3.4,5.8,-1.6,0.046,0.105,0.222,0.517,0.386,1999,8
Aleksandar Radojevic,23,220.98,1999,3,2.3,2.7,0.3,-22.1,0.061,0.231,0.228,0.363,0.077,1999,12
A.J. Bramlett,23,208.28,1999,8,1.0,2.8,0.0,-32.6,0.158,0.208,0.146,0.19,0.0,1999,78
Baron Davis,21,190.5,1999,82,5.9,2.0,3.8,1.7,0.037,0.086,0.188,0.486,0.334,1999,3
Jason Terry,22,187.96,1999,81,8.1,2.0,4.3,-7.0,0.014,0.083,0.191,0.497,0.3,1999,10
Evan Eschmeyer,25,210.82,1999,31,2.9,3.5,0.7,-2.8,0.118,0.218,0.128,0.534,0.088,1999,68
James Posey,23,203.2,1999,81,8.2,3.9,1.8,-1.6,0.045,0.125,0.148,0.55,0.106,1999,18
Elton Brand,21,203.2,1999,81,20.1,10.0,1.9,-12.8,0.131,0.184,0.269,0.528,0.118,1999,1
Devean George,22,203.2,1999,49,3.2,1.5,0.2,4.1,0.088,0.135,0.227,0.478,0.061,1999,23
Dion Glover,21,195.58,1999,30,6.5,1.3,0.9,-13.9,0.037,0.059,0.224,0.483,0.108,1999,20
Jason Hart,23,187.96,2000,1,2.0,0.0,1.0,-7.3,0.0,0.0,0.126,1.0,0.25,2000,98
Jason Collier,23,213.36,2000,23,3.1,1.6,0.3,-12.5,0.059,0.16,0.194,0.435,0.05,2000,15
Jerome Moiso,23,208.28,2000,24,1.5,1.8,0.1,-2.2,0.091,0.273,0.187,0.422,0.043,2000,11
Joel Przybilla,21,215.9,2000,33,0.8,2.2,0.1,-9.5,0.115,0.161,0.09,0.339,0.011,2000,9
Jamal Crawford,21,195.58,2000,61,4.6,1.5,2.3,-14.1,0.01,0.092,0.178,0.442,0.235,2000,8
Hedo Turkoglu,22,203.2,2000,74,5.3,2.8,0.9,5.7,0.044,0.129,0.156,0.509,0.088,2000,16
Jamaal Magloire,23,208.28,2000,74,4.6,4.0,0.4,3.2,0.111,0.195,0.164,0.506,0.042,2000,19
Jake Voskuhl,23,210.82,2000,16,1.9,2.1,0.3,-24.7,0.098,0.2,0.141,0.481,0.068,2000,66
Jake Tsakalidis,22,218.44,2000,57,4.5,4.2,0.3,-3.1,0.097,0.187,0.155,0.502,0.033,2000,25
Jabari Smith,24,210.82,2000,9,2.9,0.9,0.7,2.6,0.019,0.106,0.2,0.528,0.15,2000,90
Hanno Mottola,24,210.82,2000,73,4.4,2.4,0.3,-12.8,0.055,0.145,0.175,0.504,0.044,2000,80
Michael Redd,21,198.12,2000,6,2.2,0.7,0.2,-13.3,0.073,0.038,0.283,0.3,0.056,2000,86
Mateen Cleaves,23,187.96,2000,78,5.4,1.7,2.7,-2.4,0.022,0.091,0.205,0.458,0.281,2000,14
Mark Madsen,25,205.74,2000,70,2.0,2.2,0.3,-5.1,0.127,0.137,0.108,0.53,0.06,2000,29
Olumide Oyedeji,20,208.28,2000,30,1.5,2.2,0.1,11.6,0.137,0.219,0.114,0.532,0.014,2000,84
Morris Peterson,23,200.66,2000,80,9.3,3.2,1.3,2.5,0.068,0.094,0.202,0.507,0.093,2000,21
Mike Smith,25,203.2,2000,17,3.0,1.3,0.6,-8.5,0.061,0.084,0.177,0.386,0.093,2000,70
Mike Miller,21,203.2,2000,82,11.9,4.0,1.7,2.6,0.03,0.122,0.183,0.541,0.095,2000,5
Khalid El-Amin,22,177.8,2000,50,6.3,1.6,2.9,-10.7,0.023,0.08,0.193,0.458,0.288,2000,68
Kenyon Martin,23,205.74,2000,68,12.0,7.4,1.9,-6.4,0.066,0.191,0.2,0.472,0.103,2000,1
Keyon Dooling,21,195.58,2000,76,5.9,1.2,2.3,-0.4,0.008,0.07,0.199,0.509,0.253,2000,10
Marcus Fizer,22,205.74,2000,72,9.5,4.3,1.1,-14.2,0.055,0.19,0.247,0.476,0.097,2000,4
Mamadou N'diaye,26,213.36,2000,3,1.3,0.7,0.0,-10.8,0.143,0.143,0.211,0.41,0.0,2000,26
Lavor Postell,23,195.58,2000,26,2.3,1.0,0.2,4.1,0.058,0.101,0.233,0.448,0.058,2000,78
Brian Cardinal,24,203.2,2000,15,2.1,1.5,0.2,-14.2,0.068,0.14,0.162,0.398,0.052,2000,88
Chris Mihm,21,215.9,2000,59,7.6,4.7,0.3,-3.8,0.106,0.167,0.203,0.5,0.024,2000,7
Chris Porter,23,200.66,2000,51,8.6,3.7,1.2,-13.4,0.071,0.103,0.204,0.434,0.088,2000,110
A.J. Guyton,23,185.42,2000,33,6.0,1.1,1.9,-12.4,0.018,0.053,0.169,0.495,0.198,2000,64
Donnell Harvey,20,203.2,2000,18,1.2,1.1,0.1,-5.7,0.094,0.206,0.187,0.523,0.059,2000,22
Desmond Mason,23,195.58,2000,78,5.9,3.2,0.8,-2.0,0.055,0.138,0.157,0.483,0.066,2000,17
Erick Barkley,23,185.42,2000,8,2.4,0.4,0.8,-10.5,0.0,0.086,0.304,0.432,0.25,2000,28
Eduardo Najera,24,203.2,2000,40,3.3,2.4,0.7,-4.9,0.107,0.142,0.146,0.522,0.093,2000,76
Eddie House,23,185.42,2000,50,5.0,0.8,1.0,-0.6,0.01,0.078,0.256,0.478,0.192,2000,74
DerMarr Johnson,21,205.74,2000,78,5.1,2.3,0.8,-7.4,0.046,0.105,0.177,0.463,0.079,2000,6
Dan Langhi,23,210.82,2000,33,2.7,1.2,0.1,-11.3,0.057,0.126,0.222,0.403,0.031,2000,62
Dalibor Bagaric,20,215.9,2000,35,1.3,1.6,0.3,-15.3,0.091,0.158,0.174,0.304,0.065,2000,24
Courtney Alexander,24,195.58,2000,65,9.5,2.2,1.0,-10.1,0.036,0.085,0.232,0.484,0.083,2000,13
Dan McClintock,24,213.36,2000,6,3.0,2.8,0.2,-24.2,0.149,0.171,0.158,0.446,0.025,2000,106
DeShawn Stevenson,20,195.58,2000,40,2.2,0.7,0.5,-3.0,0.037,0.073,0.202,0.413,0.105,2000,23
Darius Miles,19,205.74,2000,81,9.4,5.9,1.2,1.7,0.072,0.173,0.191,0.518,0.08,2000,3
Stromile Swift,21,205.74,2000,80,4.9,3.6,0.4,-5.1,0.099,0.154,0.165,0.487,0.035,2000,2
Quentin Richardson,21,198.12,2000,76,8.1,3.4,0.8,-5.6,0.088,0.127,0.218,0.516,0.082,2000,18
Soumaila Samake,23,213.36,2000,34,1.4,1.6,0.0,-9.0,0.104,0.161,0.123,0.393,0.008,2000,72
Rodney White,22,205.74,2001,16,3.5,1.1,0.8,6.6,0.02,0.137,0.287,0.423,0.138,2001,9
Ruben Boumtje-Boumtje,24,213.36,2001,33,1.2,1.7,0.1,-12.8,0.094,0.165,0.11,0.453,0.028,2001,98
Richard Jefferson,22,200.66,2001,79,9.4,3.7,1.8,2.7,0.049,0.125,0.193,0.524,0.125,2001,13
Pau Gasol,21,213.36,2001,82,17.6,8.9,2.7,-6.2,0.089,0.182,0.226,0.566,0.133,2001,3
Michael Bradley,23,205.74,2001,26,1.2,0.9,0.1,-23.1,0.071,0.175,0.133,0.526,0.042,2001,17
Troy Murphy,22,210.82,2001,82,5.9,3.9,0.9,-8.2,0.075,0.181,0.172,0.488,0.08,2001,14
Trenton Hassell,23,195.58,2001,78,8.7,3.3,2.2,-10.3,0.033,0.103,0.161,0.502,0.13,2001,58
Tyson Chandler,19,215.9,2001,71,6.1,4.8,0.8,-7.1,0.097,0.186,0.164,0.543,0.063,2001,2
Tony Parker,20,187.96,2001,77,9.2,2.6,4.3,5.8,0.017,0.082,0.177,0.497,0.237,2001,28
Zach Randolph,20,205.74,2001,41,2.8,1.7,0.3,-3.7,0.144,0.193,0.253,0.479,0.103,2001,19
Will Solomon,23,185.42,2001,62,5.2,1.1,1.5,-6.8,0.014,0.07,0.215,0.442,0.189,2001,64
Vladimir Radmanovic,21,208.28,2001,61,6.7,3.8,1.3,3.3,0.044,0.175,0.172,0.528,0.1,2001,12
Shane Battier,23,203.2,2001,78,14.4,5.4,2.8,-5.6,0.064,0.086,0.181,0.518,0.116,2001,6
